question,option_a,option_b,option_c,option_d,option_e,correct_answer
ПОРЯДОК ОКАЗАНИЯ МЕДИЦИНСКОЙ ПОМОЩИ ИНОСТРАННЫМ ГРАЖДАНАМ ОПРЕДЕЛЯЕТСЯ,Главным врачом медицинской организации,Государственной Думой РФ,Правительством РФ,Президентом РФ,Министерством здравоохранения РФ,Правительством РФ
ПРИНЦИПОМ ОХРАНЫ ЗДОРОВЬЯ В СООТВЕТСТВИИ С ФЗ № 323-ФЗ ЯВЛЯЕТСЯ,государственный характер здравоохранения,все ответы правильные,приоритет интересов пациента при оказании медицинской помощи,запрет эвтаназии,безвозмездность оказания медицинской помощи,приоритет интересов пациента при оказании медицинской помощи
"УКАЖИТЕ СРОКИ ИСКОВОЙ ДАВНОСТИ ПО СПОРАМ О ВОЗМЕЩЕНИИ ВРЕДА, ПРИЧИНЕННОГО ЗДОРОВЬЮ ГРАЖДАН",1 год со дня причинения вреда,исковая давность не распространяется,6 месяцев со дня причинения вреда,3 года со дня причинения вреда,15 лет со дня причинения вреда,исковая давность не распространяется
"УКАЖИТЕ, КАКИЕ ИЗ ПЕРЕЧИСЛЕННЫХ ДЕЙСТВИЙ РАСЦЕНИВАЮТСЯ КАК НЕПОСРЕДСТВЕННОЕ ВЗАИМОДЕЙСТВИЕ МЕЖДУ ИНСПЕКТОРОМ И КОНТРОЛИРУЕМЫМ ЛИЦОМ ИЛИ ЕГО ПРЕДСТАВИТЕЛЕМ",встреча,запрос документов,присутствие инспектора в месте осуществления деятельности контролируемого,лица (за исключением случаев присутствия инспектора на общедоступных,производственных объектах),оценка эффективности деятельности учреждения здравоохранения
"ПРЕДОСТАВЛЕНИЕ СВЕДЕНИЙ, СОСТАВЛЯЮЩИХ ВРАЧЕБНУЮ ТАЙНУ ДОПУСКАЕТСЯ ПРИ",смертельном исходе пациента в стационаре,наличии у пациента онкологического заболевания,по желанию врача,осуществлении медицинской помощи несовершеннолетним пациентам старше 15 -,ти лет,осуществлении контроля качества медицинской помощи
ОСОБЕННОСТИ ПРИОБРЕТЕНИЯ И ПРЕКРАЩЕНИЯ ДЛЯ ВСЕХ ФОРМ И ВИДОВ СОБСТВЕННОСТИ МОГУТ УСТАНАВЛИВАТЬСЯ,Приказами министерств Российской Федерации,Органом исполнительной власти местного самоуправления,Федеральными законами,Постановлениями Правительства Российской Федерации,Указами Президента Российской Федерации,Федеральными законами
"ДОКУМЕНТОМ, УКАЗЫВАЮЩИМ НА СООТВЕТСТВИЕ ПРОДУКЦИИ ИЛИ УСЛУГИ СТАНДАРТАМ ЯВЛЯЕТСЯ",лицензия,сертификат соответствия,знак соответствия,знак качества,санитарно -гигиеническое заключение,сертификат соответствия
ПАЦИЕНТ С ЖАЛОБАМИ В СЛУЧАЕ НАРУШЕНИЯ ЕГО ПРАВ МОЖЕТ ОБРАТИТЬСЯ,в страховую медицинскую организацию,к другому должностному лицу медицинской организации,в орган управления здравоохранением,к руководителю медицинской организации,в любую из перечисленных инстанций,в любую из перечисленных инстанций
В ПРИКАЗЕ РУКОВОДИТЕЛЯ РОСЗДРАВНАДЗОРА (ТЕРРИТОРИАЛЬНОГО ОРГАНА) УКАЗЫВАЮТСЯ,"наименование органа государственного контроля (надзора), а также вид","государственного контроля (надзора); фамилии, имена, отчества (при наличии),","должности лица или лиц, уполномоченных на проведение проверки, а также","привлекаемых к проведению проверки экспертов, представителей экспертных",организаций,все перечисленное верно
ПОРЯДОК ЛИЦЕНЗИРОВАНИЯ МЕДИЦИНСКОЙ ДЕЯТЕЛЬНОСТИ УСТАНАВЛИВАЕТСЯ,уполномоченной профессиональной медицинской ассоциацией,Правительством РФ,Росздравнадзором,Роспотребнадзором,Федеральным органом исполнительной власти в сфере здравоохранения,Правительством РФ
"В СООТВЕТСТВИИ С ФЗ РФ ОТ 12.04.2010Г. № 61 «ОБ ОБРАЩЕНИИ ЛЕКАРСТВЕННЫХ СРЕДСТВ» ХАРАКТЕРИСТИКА ЛЕКАРСТВЕННОГО СРЕДСТВА, ОСНОВАННАЯ НА СРАВНИТЕЛЬНОМ АНАЛИЗЕ ЕГО ЭФФЕКТИВНОСТИ И РИСКА ПРИЧИНЕНИЯ ВРЕДА ЗДОРОВЬЮ – ЭТО",безопасность лекарственного средства,регистрационный номер,качество лекарственного средства,эффективность лекарственного препарата,серия лекарственного средства,безопасность лекарственного средства
"ДЕЙСТВИЯ МЕДИЦИНСКИХ РАБОТНИКОВ, УЩЕМЛЯЮЩИХ ПРАВА ГРАЖДАН ПРИ ОКАЗАНИИ ИМ ПСИХИАТРИЧЕСКОЙ ПОМОЩИ МОГУТ БЫТЬ ОБЖАЛОВАНЫ",в органе опеки и попечительства,в министерстве здравоохранения и социального развития,в российской медицинской ассоциации,в суде,в вышестоящем органе управления здравоохранения,в суде
"ОБРАЩЕНИЕ ГРАЖДАНИНА О НАРУШЕНИИ ЕГО ПРАВ, СВОБОД И ЗАКОННЫХ ИНТЕРЕСОВ НАЗЫВАЮТ",предложением,ходатайством,петицией,жалобой,заявлением,жалобой
"ПРЕДОСТАВЛЕНИЕ СВЕДЕНИЙ, СОСТАВЛЯЮЩИХ ВРАЧЕБНУЮ ТАЙНУ, БЕЗ СОГЛАСИЯ ГРАЖДАНИНА ДОПУСКАЕТСЯ В ЦЕЛЯХ",предотвращения массовых отравлений и поражений,снижения непрямых медицинских расходов на лечение,совершенствования статистического учета медицинской организации,повышения качества лечения,обучения студентов,предотвращения массовых отравлений и поражений
ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА (РОСПОТРЕБНАДЗОР) ЯВЛЯЕТСЯ,"уполномоченным федеральным органом исполнительной власти,",осуществляющим функции по контролю и надзору в сфере обеспечения,"санитарно -эпидемиологического благополучия населения, защиты прав",потребителей и потребительского рынка,"уполномоченным федеральным органом исполнительной власти,","уполномоченным федеральным органом исполнительной власти,"
ПРИ РАССМОТРЕНИИ ДЕЛА ОБ АДМИНИСТРАТИВНОМ ПРАВОНАРУШЕНИИ СУД МОЖЕТ ПРИНЯТЬ СЛЕДУЮЩИЕ РЕШЕНИЯ,дисквалификация,предупреждение,административная приостановка деятельности,"административный штраф, административная приостановка","деятельности, дисквалификация","административный штраф, административная приостановка"
К ОПЕРАТИВНЫМ ПОКАЗАТЕЛЯМ ДЕЯТЕЛЬНОСТИ РОСПОТРЕБНАДЗОРА ОТНОСЯТСЯ,удельный вес взысканных штрафов,"удельный вес взысканных штрафов, удельный вес зарегистрированных объектов недвижимости и земельных участков","с.удельный вес взысканных штрафов, удельный вес учащихся, охваченных горячим",питанием,"удельный вес учащихся, охваченных горячим питанием","удельный вес взысканных штрафов, удельный вес учащихся, охваченных горячим питанием"
КРАТНОСТЬ ПРОВЕДЕНИЯ ПЛАНОВЫХ МЕРОПРИЯТИЙ ПО КОНТРОЛЮ ДЛЯ ВЫПОЛНЕНИЯ ТРЕБОВАНИЙ ИСПОЛНЕНИЯ ЗАКОНОДАТЕЛЬСТВА В ОБЛАСТИ ОБЕСПЕЧЕНИЯ САНИТАРНО -ЭПИДЕМИОЛОГИЧЕСКОГО БЛАГОПОЛУЧИЯ ДЛЯ ПРЕДПРИНИМАТЕЛЕЙ МАЛОГО БИЗНЕСА,без ограничений,не более 1 раза в 3 года,не более 1 раза в 2 года,не более 1 раз в полгода,по мере выявления нарушений,не более 1 раза в 3 года
ОСНОВНЫМИ ЗАДАЧАМИ ФБУЗ «ЦЕНТР ГИГИЕНЫ И ЭПИДЕМИОЛОГИИ» В СУБЪЕКТЕ РФ ЯВЛЯЮТСЯ,нет правильного ответа,профессиональное и иное обеспечение деятельности Управления,Роспотребнадзора в субъекте РФ,обеспечение деятельности Управления Роспотребнадзора в субъекте РФ путем,"проведения санитарно -эпидемиологических экспертиз, обследований,",обеспечение деятельности Управления Роспотребнадзора в субъекте РФ путем
"ПЕРЕЧИСЛИТЕ УСЛОВИЯ, ПРИ КОТОРЫХ ОСУЩЕСТВЛЯЕТСЯ ФЕДЕРАЛЬНЫЙ ГОСУДАРСТВЕННЫЙ САНИТАРНО -ЭПИДЕМИОЛОГИЧЕСКИЙ НАДЗОР",все перечисленное верно,"за производством, транспортировкой, хранением, применением и утилизацией",продукции производственно -технического назначения,нет правильного ответа,"при разработке схем градостроительного планирования развития территорий,",все перечисленное верно
ФЕДЕРАЛЬНЫЙ ИНФОРМАЦИОННЫЙ ФОНД ДАННЫХ СГМ ВКЛЮЧАЕТ,базу данных среды обитания человека,все перечисленное,перечень нормативных и правовых актов,базу данных о состоянии здоровья населения,"перечень методических документов в области анализа, прогноза и определения",все перечисленное
"УКАЖИТЕ ПОКАЗАТЕЛИ, ХАРАКТЕРИЗУЮЩИЕ ДЕЯТЕЛЬНОСТЬ СЛУЖБЫ РОСПОТРЕБНАДЗОРА ПО ОСУЩЕСТВЛЕНИЮ СОЦИАЛЬНО -ГИГИЕНИЧЕСКОГО МОНИТОРИНГА","удельный вес населения, охваченного комплексным контролем по факторам",окружающей среды,"удельный вес населения, охваченного комплексным контролем по факторам","окружающей среды; удельный вес организаций, имеющих свидетельства о",государственной регистрации на продукцию,"наблюдению (включенных в ФИФ); удельный вес населения, охваченного"
ОРГАНИЗАЦИЯ И ПРО ВЕДЕНИЕ ГОСУДАРСТВЕННОГО ПЛАНОВОГО И ВНЕПЛАНОВОГО КОНТРОЛЯ ЮРИДИЧЕСКИХ ЛИЦ И ИНДИВИДУАЛЬНЫХ ПРЕДПРИНИМАТЕЛЕЙ ПРЕДСТАВЛЕНЫ В ЗАКОНЕ,«О санитарно -эпидемиологическом благополучии населения» (№52 -ФЗ),«О защите прав потребителей» (№2300 -1),«О защите прав юридических лиц и индивидуальных предпринимателей при,осуществлении государственного контроля (надзора) и муниципального контроля»,(№294 -ФЗ),«О защите прав юридических лиц и индивидуальных предпринимателей при
"ОСНОВНЫМ ЗАКОНОМ, РЕГУЛИРУЮЩИМ ДИСЦИПЛИНАРНУЮ ОТВЕТСТВЕННОСТЬ, ЯВЛЯЕТСЯ",Трудовой кодекс (КЗОТ),Уголовно -процессуальный кодекс,все перечисленное,Уголовный кодекс,Кодекс РФ об административных правонарушениях,Трудовой кодекс (КЗОТ)
"ПРИ ПРОВЕДЕНИИ ПЛАНОВЫХ МЕРОПРИЯТИЙ ПО НАДЗОРУ В ГОРОДСКОЙ БОЛЬНИЦЕ NQ2 БЫЛ УСТАНОВЛЕН ФАКТ НАРУШЕНИЯ САНИТАРНЫХ ПРАВИЛ, ВЫРАЗИВШИЙСЯ В НЕСОБЛЮДЕНИИ ПРОТИВОЭПИДЕМИЧЕСКОГО РЕЖИМА В ОПЕРАЦИОННОЙ, ПОДТВЕРЖДЕННЫЙ НЕУДОВЛ ЕТВОРИТЕЛЬНЫМИ РЕЗУЛЬТАТАМИ МИКРОБИОЛОГИЧЕСКИХ ИССЛЕДОВАНИЙ ВОЗДУХА. К КАКОЙ ОТВЕТСТВЕННОСТИ СПЕЦИАЛИСТАМИ УПРАВЛЕНИЙ РОСПОТРЕБНАДЗОРА ПО СУБЪЕКТАМ РФ МОЖЕТ БЫТЬ ПРИВЛЕЧЕНО ДОЛЖНОСТНОЕ ЛИЦО (ГЛАВНЫЙ",ВРАЧ),нет верного ответа,дисциплинарной,все перечисленное верно,административной,административной
"ВОПРОСЫ САНИТАРНО -ЭПИДЕМИОЛОГИЧЕСКОГО НОРМИРОВАНИЯ, РАЗРАБОТКИ САНИТАРНЫХ ПРАВИЛ, ИХ УТВЕРЖДЕНИЯ И ВВЕДЕНИЕ В ДЕЙСТВИЕ ИЗЛОЖЕНЫ В СЛЕДУЮЩЕЙ ГЛАВЕ ЗАКОНА «О САНИТАРНО - ЭПИДЕМИОЛОГИЧЕСКОМ БЛАГОПОЛУЧИИ НАСЕЛЕНИЯ» (№52)","права и обязанности граждан, индивидуальных предпринимателей и юридических",лиц в области обеспечени я санитарно -эпидемиологического благополучия,населения,государственное регулирование в области обеспечения санитарно -,эпидемиологического благополучия населения,государственное регулирование в области обеспечения санитарно -
"ДОЛЖНОСТНЫМИ ЛИЦАМИ УПРАВЛЕНИЯ РОСПОТРЕБНАДЗОРА В СУБЪЕКТЕ РФ, УПОЛНОМОЧЕННЫМИ ОСУЩЕСТВЛЯТЬ ГОСУДАРСТВЕННЫЙ САНИТАРНО - ЭПИДЕМИОЛОГИЧЕСКИЙ НАДЗОР ЯВЛЯЮТСЯ",старшие специалисты 1 разряда отделов и территориальных отделов Управления,руководитель Управления Роспотребнадзора в субъекте РФ,начальники отделов и территориальных отделов Управления,заместитель руководителя Управления Роспотребнадзора в субъекте РФ,верно все перечисленное,верно все перечисленное
ОСНОВНЫМИ ЗАДАЧАМИ УПРАВЛЕНИЯ РОСПОТРЕБНАДЗОРА В СУБЪЕКТЕ РФ,ЯВЛЯЮТСЯ,"организация приема граждан, обеспечение своевременного и полного","рассмотрения обращений граждан, принятие по ним решения и направление",заявителям ответы в установленный законодательством РФ срок,организация и осуществление надзора и контроля за исполнением обязательных,организация и осуществление надзора и контроля за исполнением обязательных
ПРИ ПРОВЕДЕНИИ ВНЕПЛАНОВОГО КОНТРОЛЯ ДОЛЖНОСТНЫМ ЛИЦОМ РОСПОТРЕБНАДЗОРА ВЫЯВЛЕНО НАРУШЕНИЕ СРОКОВ РЕАЛИЗАЦИИ МОЛОЧНЫХ ПРОДУКТОВ В МАГАЗИНЕ № 1 И ОФОРМЛЕН ДОКУМЕНТ,протокол об административном правонарушении,акт внеплановых мероприятий по надзору; протокол об административном,правонарушении; предписание,предписание,акт внеплановых мероприятий по надзору; протокол об административном,акт внеплановых мероприятий по надзору; протокол об административном
ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА ЯВЛЯЕТСЯ ЮРИДИЧЕСКИМ ЛИЦОМ И ИМЕЕТ,"иные печати, штампы и бланки установленного образца","счета, открываемые в соответствии с законодательством РФ",печать с изображением Государственного герба РФ и со своим наименованием,"эмблему, флаг и вымпел, утверждаемые в установленном порядке",верно все перечисленное,верно все перечисленное
КОМПОНЕНТАМИ ФЕДЕРАЛЬНОГО ГОСАНЭПИДНАДЗОРА ЯВЛЯЮТСЯ,пресечение нарушений законодательства РФ в области обеспечение санитарно -,эпидемиологического благополучия населения,все перечисленное верно,предупреждение,обнаружение,все перечисленное верно
КАЧЕСТВО МЕДИЦИНСКОЙ ПОМОЩИ – ЭТО,все перечисленное,"совокупность характеристик, отражающих своевременность диагностики и лечения",реабилитации при оказании медицинской помощи,"совокупность характеристик, отражающих своевременность оказания",медицинской помощи,все перечисленное
СРОК ПРОВЕДЕНИЯ ПЛАНОВЫХ И ЦЕЛЕВЫХ (ВНЕПЛАНОВЫХ) ПРОВЕРОК В РАМКАХ ВНУТРЕННЕГО КОНТРОЛЯ УСТАНАВЛИВАЕТСЯ,руководителем медицинской организации,нет верного ответа,"заведующим отделения, в соответствии с тематикой проверки",заместителем руководителя медицинской организации,руководителем медицинской организации или уполномоченным им заместителем,руководителем медицинской организации или уполномоченным им заместителем
ВНУТРЕННИЙ КОНТРОЛЬ КАЧЕСТВА И БЕЗОПАСНОСТИ МЕДИЦИНСКОЙ ДЕЯТЕЛЬНОСТИ ОСУЩЕСТВЛЯЕТСЯ С ЦЕЛЬЮ ОБЕСПЕЧЕНИЯ ПРАВ ГРАЖДАН НА ПОЛУЧЕНИЕ МЕДИЦИНСКОЙ ПОМОЩИ В СООТВЕТСТВИИ С,всем перечисленным,клиническими рекомендациями,порядками оказания медицинской помощи,стандартами медицинской помощи,правилами проведения лабораторных и др. видов исследований,всем перечисленным
ВНУТРЕННИЙ КОНТРОЛЬ ВКЛЮЧАЕТ,"информацию о фактах, представляющих угрозу жизни и здоровью граждан",мониторинг наличия лекарственных препаратов,учет нежелательных событий,сбор статистических данных,все перечисленное,все перечисленное
"МЕРОПРИЯТИЯ ПО ОРГАНИЗАЦИИ БЕЗОПАСНОГО ПРИМЕНЕНИЯ ЛЕКАРСТВЕННЫХ ПРЕПАРАТОВ ПРЕДУСМАТРИВАЮТ ВСЕ, КРОМЕ",закупку лекарственных препаратов,хранение лекарственных препаратов в специально оборудованных помещениях,обеспечение контроля срока годности лекарственных препаратов,соблюдению требований к назначению лекарственных препаратов,обеспечение контроля срока хранения лекарственных препаратов,закупку лекарственных препаратов
ВНУТРЕННИЙ КОНТРОЛЬ ОСУЩЕСТВЛЯЕТСЯ ПУТЕМ ПРОВЕДЕНИЯ ПРОВЕРОК,других видов,срочных,плановых,внеплановых (целевых),"плановых, внеплановых (целевых)","плановых, внеплановых (целевых)"
"ПЛАН МЕРОПРИЯТИЙ ПО ВЕДОМСТВЕННОМУ КОНТРОЛЮ УТВЕРЖДАЕТСЯ НЕ ПОЗДНЕЕ, ЧЕМ",за 3 месяца до начала календарного года,за 6 месяцев до начала календарного года,не имеет значения,за 1 месяц до начала календарного года,за 10 дней до начала календарного года,за 1 месяц до начала календарного года
ПЛАНОВЫЕ ПРОВЕРКИ В ОТНОШЕНИИ ПОДВЕДОМСТВЕННЫХ ОРГАНИЗАЦИЙ ПРИ ПРОВЕДЕНИИ ВЕДОМСТВЕННОГО КОНТРОЛЯ ОСУЩЕСТВЛЯЮТСЯ,не чаще 4 -х раза в год,не чаще 3 -х раза в год,нет верного ответа,не чаще 1 -го раза в год,не чаще 2 -х раз в год,не чаще 1-го раза в год
"ЗАДАЧАМИ ВЕДОМСТВЕННОГО КОНТРОЛЯ ЯВЛЯЮТСЯ ВСЕ, КРОМЕ","принятие мер по устранению последствий и причин нарушений, выявленных в",рамках государственного контроля качества и безопасности медицинской,деятельности,создание системы оценки деятельности медицинских работников,"принятие мер по устранению последствий и причин нарушений, выявленных в","принятие мер по устранению последствий и причин нарушений, выявленных в"
"МЕРОПРИЯТИЯ ПО ОБЕСПЕЧЕНИЮ УХОДА ПРИ ОКАЗАНИИ МЕДИЦИНСКОЙ ПОМОЩИ ВКЛЮЧАЮТ ВСЕ, КРОМЕ",анализ информации о случаях пролежней,"кормление пациентов, включая зондовое питание",осуществление ухода за дренажами и стомами,оценка риска возникновения пролежней,анализ эффективности диспансерного наблюдения,анализ эффективности диспансерного наблюдения
МЕРОПРИЯТИЯ ПО ОРГАНИЗАЦИИ БЕЗОПАСНОЙ СРЕДЫ ДЛЯ ПАЦИЕНТОВ,ВКЛЮЧАЮТ,создание рациональной планировки структурных подразделений,все перечисленное,мероприятия по снижению риска профессиональных заболеваний,обеспечения защиты от травмирования элементами медицинских изделий,все перечисленное
ВЕДОМСТВЕННЫЙ КОНТРОЛЬ КАЧЕСТВА И БЕЗОПАСНОСТИ МЕДИЦИНСКОЙ ДЕЯТЕЛЬНОСТИ ОСУЩЕСТВЛЯЕТСЯ НА ОСНОВАНИИ,распоряжения правительства субъекта РФ,всего перечисленного,приказа медицинской организации,постановления правительства субъекта РФ,приказа органа исполнительной власти,приказа органа исполнительной власти
ПЛАНОВЫЕ И ВНЕПЛАНОВЫЕ ПРОВЕРКИ В РАМКАХ ВНУТРЕННЕГО КОНТРОЛЯ ПРЕДУСМАТРИВАЮТ ОЦЕНКУ,наличия нормативно -правовых актов,всего перечисленного,соблюдения безопасных условий при транспортировке пациента,обеспечения получения информированного добровольного согласия гражданина,на медицинское вмешательство,всего перечисленного
ВЕДОМСТВЕННЫЙ КОНТРОЛЬ ВКЛЮЧАЕТ ПРОВЕДЕНИЕ ПРОВЕРОК,"соблюдения порядков проведения медицинских экспертиз, диспансеризации,","медицинских осмотров, медицинских освидетельствований",соблюдения требований к организации и проведению внутреннего контроля,качества и безопасности медицинской деятельности,соблюдения медицинскими организациями безопасных условий труда,все перечисленное
ДОЛЖНОСТНЫЕ ЛИЦА ПРИ ПРОВЕДЕНИИ ВЕДОМСТВЕННОГО КОНТРОЛЯ,ОБЯЗАНЫ,"предоставлять руководителю организации информацию и документы,",относящиеся к предмету проверки,проводить проверку во время исполнения служебных обязанностей,все перечисленное,все перечисленное
"ПЕРЕЧЕНЬ МЕРОПРИЯТИЙ ПО СОБЛЮДЕНИЮ ТРЕБОВАНИЙ К ОРГАНИЗАЦИИ И ПРОВЕДЕНИЮ ВНУТРЕННЕГО КОНТРОЛЯ КАЧЕСТВА И БЕЗОПАСНОСТИ МЕДИЦИНСКОЙ ДЕЯТЕЛЬНОСТИ В РАМКАХ ПРОВЕДЕНИЯ ВЕДОМСТВЕННОГО КОНТРОЛЯ ВКЛЮЧАЕТ ВС Е, КРОМЕ",рассмотрение документов и материалов по организации работы по рассмотрению,обращений граждан,оценка соблюдения порядка оформления результатов внутреннего контроля,качества и безопасности медицинской деятельности,рассмотрение документов и материалов по организации внутреннего контроля,рассмотрение документов и материалов по организации работы по рассмотрению
ПО ПОСЛЕДОВАТЕЛЬНОСТИ ПРОИЗВОДСТВА СУДЕБНЫЕ ЭКСПЕРТИЗЫ ПОДРАЗДЕЛЯЮТСЯ НА,первичные и повторные,комиссионные и комплексные,однородные и неоднородные,основные и дополнительные,единоличные и коллегиальные,первичные и повторные
"К КЛАССУ СУДЕБНЫХ ЭКСПЕРТИЗ, ХАРАКТЕРИЗУЮЩЕМУ ОТРАСЛЬ НАУЧНОГО ЗНАНИЯ, НЕ ОТНОСИТСЯ",биологические,химические,криминалистические,метафизические,медицинские,метафизические
ДОКАЗЫВАНИЕ - ЭТО,"деятельность суда по проверке и оценке обстоятельств, имеющих значение для",дела,"деятельность следователя по установлению, собиранию обстоятельств, имеющих",значение для дела,"деятельность по поиску информации, которая будет использована следователем","деятельность по собиранию, проверке, оценке доказательств следователя или суда,"
СУДЕБНУЮ ЭКСПЕРТИЗУ НЕ МОЖЕТ ПРОВОДИТЬ,"иной эксперт, назначенный судом","лицо, обладающее определенными знаниями, необходимыми для разрешения","дела, назначенное судом",негосударственный эксперт,"эксперт, не прошедший аккредитацию","эксперт, не прошедший аккредитацию"
ЗАКЛЮЧЕНИЕ СПЕЦИАЛИСТА - ЭТО,"содержание исследования и выводы, представленные в письменном виде, по","вопросам, поставленным перед ним сторонами процесса","сведения, сообщенные им на допросе, проведенном после получения его","заключения, в целях разъяснения или уточнения данного заключения","суждение специалиста, высказываемое им в суде устно, по вопросам, которые","суждение, представленное в письменном виде, по вопросам, поставленным перед"
МЕДИЦИНСКОЕ ОСВИДЕТЕЛЬСТВОВАНИЕ - ЭТО,"совокупность методов медицинского осмотра и медицинских исследований,","применяемых для подтверждения такого состояния здоровья человека, которое",влечет за с обой наступление юридически значимых последствий,проведение лицу медицинских исследований для выявления у него патологических,состояний или заболеваний,"совокупность методов медицинского осмотра и медицинских исследований,"
ФЗ N323 «ОБ ОСНОВАХ ОХРАНЫ ЗДОРОВЬЯ ГРАЖДАН В РФ» ОПРЕДЕЛЯЕТ ВИДЫ МЕДИЦИНСКИХ ЭКСПЕРТИЗ,экспертизу временной нетрудоспособности,экспертизу оказания медицинской помощи,экспертизу связи профессии с заболеванием,экспертизу профессиональной пригодности,все ответы верные,все ответы верные
МЕДИЦИНСКОЙ ЭКСПЕРТИЗОЙ НЕ ЯВЛЯЕТСЯ,судебно -психологическая экспертиза,судебно -медицинская экспертиза,экспертиза временной нетрудоспособности,экспертиза профессиональной пригодности,военно -врачебная экспертиза,судебно -психологическая экспертиза
ДОСТАТОЧНОСТЬ ДОКАЗАТЕЛЬСТВ ОСНОВАНА НА,полноте исследования доказательств и надежности выводов о доказанности,фактов,"изучении обстоятельств дела, которые надежно подтверждены достаточной",совокупностью доказательств,"совокупности доказательств, характеризующих полноту и глубину исследования","совокупности доказательств, характеризующих полноту и глубину исследования"
СУДЕБНО -ПСИХИАТРИЧЕСКАЯ ЭКСПЕРТИЗА В ГРАЖДАНСКОМ ПРОЦЕССЕ,Текст вопроса ЕДИНОЛИЧНАЯ СУДЕБНО -МЕДИЦИНСКАЯ ЭКСПЕРТИЗА ПРОВОДИТСЯ,судебно -медицинскими экспертами одного экспертного подразделения,одним судебно -медицинским экспертом,одним врачом экспертом,судебно -медицинскими экспертами одного разных подразделений,одним судебно -медицинским экспертом
ОБЯЗАТЕЛЬНЫЕ СЛУЧАИ НАЗНАЧЕНИЯ СУДЕБНО -МЕДИЦИНСКОЙ ЭКСПЕРТИЗЫ,установление психического состояния потерпевшего при наличии сомнения в его,способности правильно давать показания,установление психического состояния потерпевшего при наличии сомнения в его,способности правильно воспринимать обстоятельства уголовного дела,установление психического состояния подозреваемого на предмет о наличии или,"установление причин смерти; определение характера и степени вреда,"
ДОПОЛНИТЕЛЬНАЯ СУДЕБНАЯ ЭКСПЕРТИЗА ПРОВОДИТСЯ,по тем же вопросам либо по возникшим новым вопросам в отношении ранее,"исследованных обстоятельств уголовного дела, что и в первичной, только тем же",экспертом,по тем же вопросам либо по возникшим новым вопросам в от ношении ранее,"исследованных обстоятельств уголовного дела, что и в первичной, тем же или",по тем же вопросам либо по возникшим новым вопросам в отношении ранее
"НОРМАТИВНО -ПРАВОВОЙ АКТ, РЕГЛАМЕНТИРУЮЩИЙ НАЗНАЧЕНИЕ И ПРОИЗВОДСТВО СУДЕБНОЙ ЭКСПЕРТИЗЫ В АДМИНИСТРАТИВНОМ ПРОЦЕССЕ",Кодекс административного судопроизводства РФ,Трудовой кодекс РФ,Уголовно -процессуальный кодекс РФ,Гражданский кодекс РФ,Гражданский процессуальный кодекс РФ,Кодекс административного судопроизводства РФ
ЦЕЛЬЮ ПРОВЕДЕНИЯ СУДЕБНО -ПСИХИАТРИЧЕСКОЙ ЭКСПЕРТИЗЫ ЯВЛЯЕТСЯ,все ответы верные,"установление психического состояния подозреваемого, обвиняемого на предмет",наличия у лица наркомании,установление психического состояния лица и наличия у него расстройства,сексуального предпочтения (педофилии),все ответы верные
СУДЕБНО -МЕДИЦИНСКАЯ ЭКСПЕРТИЗА ПО ДЕЛАМ О ПРОФЕССИОНАЛЬНЫХ НАРУШЕНИЯХ МЕДИЦИНСКИХ РАБОТНИКОВ НАЗНАЧАЕТСЯ ПРИ,"несвоевременном оказании врачом медицинской помощи пациенту, повлекшим",ухудшение его здоровья,"неэтичном отношении врача к пациенту, не повлекшим ухудшения его здоровья",несоблюдении врачом графика дежурств,неоднократном несоблюдении врачом гигиенических норм,"несвоевременном оказании врачом медицинской помощи пациенту, повлекшим"
ПОРЯДОК ПРОИЗВОДСТВА СУДЕБНО -МЕДИЦИНСКОЙ ЭКСПЕРТИЗЫ ПРИМЕНИТЕЛЬНО К ЕЕ ОБЪЕКТАМ ОПРЕДЕЛЕН,Приказом Фонда Социального страхования РФ,Приказом Федерального Фонда Обязательного Медицинского Страхов ания РФ,Приказом Министерства здравоохранения РФ,Законом РФ «О психиатрической помощи и гарантиях прав граждан при ее,оказании»,Приказом Министерства здравоохранения РФ
СУДЕБНО -ПСИХИАТРИЧЕСКАЯ ЭКСПЕРТИЗА МОЖЕТ ПРОВОДИТЬСЯ,все ответы верные,стационарно,амбулаторно,"очно, заочно (посмертно)","в кабинете следователя, в судебном заседании",все ответы верные
СТАЦИОНАРНАЯ СУДЕБНО -ПСИХИАТРИЧЕСКОЙ ЭКСПЕРТИЗА ПРОВОДИТСЯ В,СРОК,не более десяти дней,не более сорока дней,не более тридцати дней,не более двадцати дней,"тридцати дней, по решению суда возможно продление до шестидесяти дней, в"
